@relation repo_popular

@attribute fork numeric
@attribute size numeric
@attribute sum numeric
@attribute avg numeric
@attribute weight numeric

@data
450,7954,74566,1734.09,10187.9
55,3462,21152,320.485,2299.59
464,2639,40234,670.567,12775.3
6,156,7326,7326,7326
84,232,22027,7342.33,6989.17
15,473,16008,5336,13503.2
287,1208,4441,177.64,1067.1
310,1008,6072,253,689.139
8,86,19265,19265,19265
3,192,1832,229,328.211
27,1551,16906,331.49,963.489
2,117,15387,15387,15387
2,103,15387,15387,15387
69,105,18463,4615.75,6673.58
3,97,2558,1279,1779
18,223,15404,7702,13850
347,1178,16680,406.829,998.246
356,1578,24692,602.244,3577.59
150,2337,4620,210,579.932
7,808,19552,9776,7878.2
73,7064,15323,319.229,954.93
1,96,15446,7723,3124.6
3,107,1495,1495,1495
53,1112,2662,85.871,100
6,333,1753,584.333,1229.83
89,1043,3637,101.028,86.0085
2,117608,64067,593.213,2115.61
2,178,1025,256.25,498.539
357,1118,3757,67.0893,244.39
30,278,1274,182,237.857
15,97,954,477,743.667
4,188,954,477,488.429
3,103,1192,596,495.643
0,88,954,477,210.333
1,98,77,77,77
2,96,90,45,66.3333
2,431,954,477,648.429
50,453,2492,146.588,401.311
93,780,13948,332.095,514.308
5,131,15387,15387,15387
413,1174,19756,1097.56,8030.61
4,3926,19265,19265,19265
4,474,1517,758.5,1461.14
913,25727,25200,162.581,1575.64
3,291,1334,1334,1334
5,145,1334,1334,1334
1,428,1334,1334,1334
54,181,1808,602.667,864.455
8,108,1334,1334,1334
0,212,1495,1495,1495
6,108,932,932,932
4,1698,8166,8166,8166
5,109,8166,8166,8166
1,153,1495,1495,1495
11,539,2327,387.833,1219.14
40,4160,1805,601.667,1372.99
401,1005,5531,65.8452,279.938
10,91,19265,19265,19265
6,335,2112,704,1830.47
0,92,0,0,0
759,1613,15588,362.512,1695
0,488,1363,1363,1363
52,1156,3466,433.25,1018.93
98,626,0,0,0
0,96,5849,5849,5849
0,3805,13899,868.688,631.706
4,124,1495,1495,1495
1,93,287,287,287
181,673,71073,1822.38,4832.59
1,97,0,0,0
1,232,1947,1947,1947
2,290,304,101.333,101.333
1,165,1976,988,1121.67
2,80,0,0,0
38,4859,3494,232.933,699.771
0,81,0,0,0
38,104,4187,697.833,1160.56
2,194,1947,1947,1947
0,83,2279,2279,2279
4,85,0,0,0
154,505,5217,474.273,1218.02
81,160,3228,538,1469.72
7,160,2422,605.5,1125.89
10,87,2288,1144,576.5
7,131,2404,801.333,463.296
20,509,2778,347.25,1253.58
18,1241,10943,1094.3,1514.76
237,4755,3444,137.76,171.832
2,104,1363,1363,1363
3,158,14028,2004,3199.86
7,93,0,0,0
0,3756,0,0,0
46,200,21490,3581.67,15419.2
4,82,1509,754.5,1001.33
4,161,2237,1118.5,1453.93
3,207,0,0,0
1,2688,0,0,0
16,134,0,0,0
3,338,34,34,34
7,859,5,5,5
12,588,10929,10929,10929
30,9535,1973,246.625,1238.77
13,121,0,0,0
8,335,15387,15387,15387
44,235,18748,1704.36,5270.79
10,229,22771,4554.2,13728
24,97,23576,7858.67,12911.7
33,333,15387,15387,15387
4,96,15590,3897.5,8577
3,153,6636,6636,6636
0,88,0,0,0
35,118,8302,1186,2737.11
69,593,2205,735,1432.69
2,2276,15387,15387,15387
1,83,15387,15387,15387
1,106,380,380,380
3,109,34,34,34
90,1717,12195,871.071,2988.3
1,114,126,126,126
2,601,0,0,0
2,79,1458,729,1284.2
27,131,1008,252,353.625
565,10651,12610,382.121,668.508
29,5053,20921,426.959,1737.28
1,252,1474,1474,1474
1,79,15387,15387,15387
0,87,2655,2655,2655
0,156,0,0,0
2,81,1474,1474,1474
2,16854,8405,171.531,293.249
0,96,2126,1063,1322.2
519,2685,15063,1255.25,2185.11
109,24223,5978,2989,5796.52
2,132,7326,7326,7326
0,104,1495,1495,1495
2,194,1495,1495,1495
1,91,0,0,0
1,89,0,0,0
6,99,8159,2719.67,1077.83
1,138,408,68,74.4045
19,277,0,0,0
3,234,7326,7326,7326
29,80,15387,15387,15387
8,242,2115,705,560.011
1,118,22713,11356.5,15270.2
0,120,1363,1363,1363
4,9888,2059,514.75,2016.34
3,741,4219,351.583,1142.54
94,120434,10960,498.182,2615.79
3,2373,5435,1358.75,1674.72
8,200,5175,1725,4114.66
2,108,6878,6878,6878
0,124,1495,1495,1495
8,113,1548,774,1325.35
0,276,8,8,8
22,1669,11273,2254.6,5049.52
0,127,1663,554.333,532.288
5,1110,7778,1111.14,164.179
46,2796,61161,2659.17,13344.2
6,392,6693,3346.5,6006.65
4,185,5139,5139,5139
0,80,17,17,17
2,374,15387,15387,15387
0,80,877,877,877
8,6563,6304,1576,642.441
20,446,15586,5195.33,9399.95
24,278,2060,686.667,1396.1
1,77,15387,15387,15387
1,95,15387,15387,15387
1,88,77,77,77
52,2256,69017,1971.91,6487.1
0,2041,63981,2908.23,6411.65
2,3034,6455,496.538,614.963
55,10621,3037,216.929,1105.86
0,48,0,0,0
2,86,8175,4087.5,2728
0,88,954,477,359.353
7,115,954,477,277
34,850,2381,476.2,1422.42
2,99,112,37.3333,38
5,93,7921,3960.5,3287.4
0,136,1869,1869,1869
0,200,1854,618,643.714
0,48,0,0,0
3,108,22027,7342.33,6989.17
1,109,1495,1495,1495
28,76,7326,7326,7326
21,198,8226,1175.14,1845.94
311,807,8406,700.5,6267.06
0,198,1588,317.6,382.833
8,563,1495,1495,1495
2,693,9427,3142.33,1784.96
1,147,1495,1495,1495
0,5904,1363,1363,1363
3,72,0,0,0
45,778,3261,815.25,2406.95
147,340,13884,578.5,1334.94
192,1900,6790,1131.67,6541.91
5,127,8710,2177.5,3656.98
9,84,2209,2209,2209
1,85,18,18,18
73,638,4064,580.571,1842.4
9,11707,1565,782.5,1386.6
4,89,1363,1363,1363
6,1274,449,224.5,310.889
658,41895,13524,397.765,120.662
13,409,5849,5849,5849
24,133,2070,517.5,593.711
82,434,3288,822,659.479
0,76,5849,5849,5849
662,10799,6730,2243.33,6594.3
6,202,73,73,73
1,76,0,0,0
0,80,1363,1363,1363
1,136,1363,1363,1363
5,647,5122,2561,4888.82
3,1100,3171,3171,3171
4,786,1495,1495,1495
0,204,1495,1495,1495
13,358,8920,1115,3828.43
0,283,1495,1495,1495
0,396,1495,1495,1495
1,88,1514,757,757
123,43925,6856,380.889,4889.55
0,148,1521,507,575.889
12,625,3064,1021.33,1828.25
0,88,48,48,48
0,7182,3951,303.923,202.341
70,37814,10293,214.438,54.7629
34,6807,386,42.8889,45.0323
8,6444,564,141,57.2439
4,737,678,339,79.2222
